song_id,song_name,artists,artists_id,popularity
5Kskr9LcNYa0tpt5f0ZEJx,Calling My Phone,"[{'artist_name': 'Lil Tjay', 'artist_id': '6jGMq4yGs7aQzuGsMgVgZR'}, {'artist_name': '6LACK', 'artist_id': '4IVAbR2w4JJNJDDRFP3E83'}]",,88
1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love,"[{'artist_name': 'Pop Smoke', 'artist_id': '0eDvMgVFoNV3TpwtrVCoTj'}]",,89
61KpQadow081I2AsbeLcsb,deja vu,"[{'artist_name': 'Olivia Rodrigo', 'artist_id': '1McMsnEElThX1knmY4oliG'}]",,92
1BKT2I9x4RGKaKqW4up34s,Ruff Ryders' Anthem,"[{'artist_name': 'DMX', 'artist_id': '1HwM5zlC5qNWhJtM00yXzG'}]",,78
2etHQJxIbV0soyPhelVs9Y,Best Friend (feat. Doja Cat),"[{'artist_name': 'Saweetie', 'artist_id': '6cK3NBO6uP7hh0oyuVELFl'}, {'artist_name': 'Doja Cat', 'artist_id': '5cj0lLjcoR7YOSnhnX0Po5'}]",,90
3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),"[{'artist_name': '24kGoldn', 'artist_id': '6fWVd57NKTalqvmjRd2t8Z'}, {'artist_name': 'iann dior', 'artist_id': '6ASri4ePR7RlsvIQgWPJpS'}]",,88
3hLuHKzG1cmlRpq53ZVWd8,The Good Ones,"[{'artist_name': 'Gabby Barrett', 'artist_id': '6Iz3eq2aQGFf7TbGT2iahL'}]",,78
7JuHVG3qQKQKxC4doneXVW,Back In Blood (feat. Lil Durk),"[{'artist_name': 'Pooh Shiesty', 'artist_id': '5F1aAS1duwlzExnPs3l2Xe'}, {'artist_name': 'Lil Durk', 'artist_id': '3hcs9uc56yIGFCSy9leWe7'}]",,83
6Im9k8u9iIzKMrmV7BWtlF,34+35,"[{'artist_name': 'Ariana Grande', 'artist_id': '66CXWjxzNUsdJxJ2JdwvnR'}]",,89
1IIKrJVP1C9N7iPtG6eOsK,Go Crazy,"[{'artist_name': 'Chris Brown', 'artist_id': '7bXgB6jMjp9ATFy66eO08Z'}, {'artist_name': 'Young Thug', 'artist_id': '50co4Is1HCEo8bhOyUWKpn'}]",,83
45bE4HXI0AwGZXfZtMp8JR,you broke me first,"[{'artist_name': 'Tate McRae', 'artist_id': '45dkTj5sMRSjrmBSBeiHym'}]",,90
54bFM56PmE4YLRnqpW6Tha,Therefore I Am,"[{'artist_name': 'Billie Eilish', 'artist_id': '6qqNVTkY8uBg9cP3Jd7DAH'}]",,89
3aQem4jVGdhtg116TmJnHz,What’s Next,"[{'artist_name': 'Drake', 'artist_id': '3TVXtAsR1Inumwj472S9r4'}]",,89
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,"[{'artist_name': 'Giveon', 'artist_id': '4fxd5Ee7UefO4CUXgwJ7IP'}]",,94
6fRxMU4LWwyaSSowV441IU,Beautiful Mistakes (feat. Megan Thee Stallion),"[{'artist_name': 'Maroon 5', 'artist_id': '04gDigrS5kc9YWfZHwBETP'}, {'artist_name': 'Megan Thee Stallion', 'artist_id': '181bsRPaVXVlUKXrxwZfHK'}]",,90
7kDUspsoYfLkWnZR7qwHZl,my ex's best friend (with blackbear),"[{'artist_name': 'Machine Gun Kelly', 'artist_id': '6TIYQ3jFPwQSRmorSezPxX'}, {'artist_name': 'blackbear', 'artist_id': '2cFrymmkijnjDg9SS92EPM'}]",,85
3wJ1OyP3Fugmi8t41e1zQ6,You're Mines Still,"[{'artist_name': 'Yung Bleu', 'artist_id': '3KNIG74xSTc3dj0TRy7pGX'}, {'artist_name': 'Drake', 'artist_id': '3TVXtAsR1Inumwj472S9r4'}]",,66
